Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Virtual Assistant (Work From Home),OtherAdministrative Assistant,Persona,Unknown,Unknown,Unknown,Full-time,0-3,Unknown,Communication; Problem Solving; Document Management; Data Analysis; Cross-functional Collaboration; Technical Writing; Marketing; Sales,,Microsoft Excel
[AMAZON - EMEA] Data Scientist Intern,Data Scientist,Amazon,Unknown,Unknown,Unknown,Internship,0-3,Intern,Machine Learning; Data Analysis; Problem Solving,Master's Degree; PhD,SQL; Python; R
Geospatial Data Analyst (Homebased Retainer),Data Analyst,UNOPS,Unknown,Unknown,Unknown,Unknown,0-3,Unknown,Data Analysis; Communication,Bachelor's Degree,Python
Business Analyst,Business Analyst,Charles Taylor InsureTech,Unknown,Unknown,Unknown,Full-time,3-5,Unknown,Data Analysis; Communication; Problem Solving; Business Acumen; Cross-functional Collaboration,Bachelor's Degree,SQL
Project Manager/ Lead (Construction),Project Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Lead,Project Management; Communication; Team Leadership; Business Acumen; Problem Solving,,Microsoft Excel
Business Analyst,Data Analyst,Capgemini,Spain,Unknown,Unknown,Unknown,3-5,Unknown,Data Analysis; Communication; Problem Solving; Team Leadership,,SQL; Tableau; BigQuery
Finnish Linguistic QA Specialist,OtherAdministrative Assistant,Unknown,Unknown,Unknown,Unknown,Unknown,3-5,Unknown,Communication; Problem Solving,,
PMO Support,Product Manager,Remobi,Unknown,Unknown,Unknown,Unknown,0-3,Unknown,Agile; Product Management; Communication; Project Management,,Jira; Confluence
Business Analyst (Regulatory Reporting),Business Analyst,Revolut,Unknown,Unknown,Unknown,Unknown,5+,Senior,Project Management; Communication; Business Acumen; Cross-functional Collaboration; Problem Solving; Regulatory Compliance; Data Analysis,,SQL
Remote Work: Data Partner - Business Writer - Italian - Remote - Global,Data Analyst,Unknown,Unknown,Unknown,Unknown,Unknown,0-3,Unknown,Problem Solving; Communication,Master's Degree; Bachelor's Degree,
