Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Principal Product Manager,Product Manager,Welltech,Unknown,Unknown,Unknown,Full-time,3-5,Unknown,Product Management; Agile; Scrum; Data Analysis; Communication; Cross-functional Collaboration,,
Product Manager - Fusion Model-Based Manufacturing,Product Manager,Autodesk,Germany,Unknown,Unknown,Unknown,5+,Manager,Product Management; Communication; Agile; Scrum; Cross-functional Collaboration; Problem Solving; Business Acumen,,CAD
Digital Product Manager,Project Manager,Darkroom,Unknown,Unknown,Unknown,Full-time,0-3,Unknown,Project Management; Communication; Process Optimization; SEO; Cross-functional Collaboration,,Shopify
Payments Product Analyst,Data Analyst,Cleo,United Kingdom,Unknown,London,Full-time,5+,Senior,Data Analysis; SQL; Product Management; Cross-functional Collaboration; Problem Solving; Business Acumen,,SQL
Product Manager,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Unknown,Product Management; Communication; Problem Solving; Business Acumen,,
Product Manager,Product Manager,Unknown,European Union,Unknown,Unknown,Full-time,5+,Unknown,Product Management; Cloud Computing,,
AI Product Manager - RELOCATE TO DUBAI,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Lead,Product Management; Healthcare Knowledge; Data Analysis; Communication,,
Regional Product Manager - Heavy-duty connectors,Product Manager,TE Connectivity,Unknown,Unknown,Unknown,Full-time,3-5,Manager,Product Management; Marketing; Sales; Communication; Problem Solving; Cross-functional Collaboration; Supply Chain Management; Financial Analysis,Bachelor's Degree; Master's Degree; Engineering; Business Administration,
"Product Manager – Platform Intelligence, AI/ML",Product Manager,Accelerant,Unknown,Unknown,Unknown,Full-time,5+,Manager,Product Management; Data Analysis; Machine Learning; Communication; Problem Solving; Cross-functional Collaboration,,SQL
"Principal Product Manager, Docker Desktop & Core DX (US-EAST)",Product Manager,Docker,Unknown,Unknown,Unknown,Unknown,5+,Lead,Product Management; Communication; Cross-functional Collaboration; Problem Solving,,
