Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Product Analyst,Product Manager,Unknown,Italy,Unknown,Unknown,Unknown,Unknown,Unknown,"Data Analysis, Communication, Problem Solving, Product Management, Business Acumen, Cross-functional Collaboration, Statistical Reporting, Project Management",,Microsoft Excel
Product Manager,Product Manager,Triple,Unknown,Unknown,Unknown,Unknown,3-5,Mid,"Product Management, API, Data Analysis, Problem Solving, Communication, Cross-functional Collaboration",,
Jr Controller Financiero,Business Analyst,Wetaca,Spain,Unknown,Madrid,Full-time,3-5,Junior,"Data Analysis, Auditing, Business Acumen, Problem Solving, Cross-functional Collaboration",Bachelor's Degree,"Microsoft Excel, Power BI"
Product Owner – Core & Compliance,Product Manager,Unknown,Unknown,Unknown,Unknown,Unknown,5+,Senior,"Product Management, Regulatory Compliance, Technical Writing, Cross-functional Collaboration, User-Centered Design, Project Management, Problem Solving, Business Acumen",,
Rev-celerator Graduate Product Owner programme,Product Manager,Revolut,Unknown,Unknown,Unknown,Full-time,0-3,Junior,"Product Management, Data Analysis, User Research, Business Acumen, Cross-functional Collaboration, Project Management, Technical Writing, Statistical Reporting, Problem Solving, Communication, User-Centered Design","Bachelor's Degree, Master's Degree",
Creative Project Manager,Project Manager,Unknown,Unknown,Unknown,Unknown,Contract,3-5,Manager,"Project Management, Process Optimization, Communication, Quality Control, Regulatory Compliance, Data Analysis, Team Leadership, Business Acumen, Problem Solving, Marketing, Document Management",,
Product Owner,Product Manager,Amaris Consulting,Unknown,Unknown,Unknown,Unknown,3-5,Mid,"Product Management, Agile, Scrum, Communication, Problem Solving, Product Design, Cross-functional Collaboration",,GitHub
Junior Sales professional,Marketing Specialist,NaviLens,Unknown,Unknown,Unknown,Unknown,0-3,Junior,"Data Analysis, Process Optimization, Communication, Marketing, Sales, Business Acumen, Cross-functional Collaboration","Bachelor's Degree, Engineering","HubSpot, Salesforce, Microsoft Excel"
Product Owner - PDF,Product Manager,Leadtech,Spain,Unknown,Barcelona,Full-time,0-3,Mid,"Product Management, Agile, Scrum, User Research, Data Analysis, Communication, Problem Solving, Cross-functional Collaboration, Team Leadership, Business Acumen",,
B2B Sales Function,Marketing Specialist,Bending Spoons,Italy,Unknown,Milan,Full-time,3-5,Mid,"Problem Solving, Product Management, Marketing, Sales, Cross-functional Collaboration, Team Leadership",,
