Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Junior Product Manager,Product Manager,Tuotempo,Spain,Unknown,Barcelona,Unknown,0-3,Junior,Product Management; Communication; Problem Solving; Healthcare Knowledge,Bachelor's Degree,
"Manager, Product Manager",Product Manager,Canonical,Unknown,Unknown,Unknown,Full-time,5+,Manager,Product Management; Project Management; Communication; Cross-functional Collaboration; Team Leadership; Technical Writing; Business Acumen; Problem Solving; Product Design; Marketing; Regulatory Compliance,Higher Education,Jira; Confluence; GitHub; GitLab; Kubernetes; Docker containers
Product Manager (100% Remote),Product Manager,Robert Walters,Spain,Unknown,Valencia,Unknown,5+,Unknown,Product Management; Data Analysis; Communication; Agile,,Google Analytics; Looker; Figma
Product Manager (relocation to Abu Dhabi,Product Manager,Presight,Unknown,Unknown,Abu Dhabi,Unknown,5+,Manager,Product Management; Data Analysis; Communication; User Research; Cross-functional Collaboration; Quality Assurance; Project Management,Bachelor's Degree; Engineering,Figma
New Product Development Manager,Product Manager,Unknown,Unknown,Unknown,Unknown,Contract,5+,Manager,Product Management; Marketing; Communication; Cross-functional Collaboration; Process Optimization,,
Product Manager,Product Manager,Wikifarmer,Unknown,Unknown,Unknown,Full-time,3-5,Unknown,Product Management; Communication; Cross-functional Collaboration; Process Optimization; Data Analysis; User Research; Supply Chain; Operations Management,,
Senior Product Manager,Product Manager,SweatPals,United States,Unknown,Unknown,Full-time,3-5,Unknown,Product Management; Data Analysis; User Research; UI/UX Design; Cross-functional Collaboration,,Amplitude; Notion
Product Manager - OpenData,Product Manager,Veeva Systems,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Product Management; Data Analysis; Healthcare Knowledge,Bachelor's Degree,SQL
Product Manager - In-store Payment – Remote-First,Product Manager,European Payments Initiative,European Union,Unknown,Unknown,Unknown,5+,Senior,Product Management; Agile; Communication; Business Acumen; Cross-functional Collaboration,,
Senior Product Manager,Product Manager,Fever,Unknown,Unknown,Unknown,Full-time,5+,Unknown,Product Management; Communication; Data Analysis; Problem Solving; Business Acumen; Cross-functional Collaboration; Team Leadership,Bachelor's Degree; Engineering,SQL
