record1,record2,similarity_score,company
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner (m/f/d)', 'location': 'Unknown', 'seniority': 'Unknown'}","{'file': '20250821_163730_DataPM_result_batch_2.csv', 'title': 'Product Owner (m/f/d)', 'location': 'Unknown', 'seniority': 'Unknown'}",1.0,Unknown
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner – Insight Analytics & AI', 'location': 'Valencia', 'seniority': 'Unknown'}","{'file': '20250821_163730_DataPM_result_batch_2.csv', 'title': 'Product Owner – Insight Analytics & AI', 'location': 'Valencia', 'seniority': 'Unknown'}",1.0,Unknown
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'OPERATIONAL PRODUCT MANAGER H/M (46)', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'OPERATIONAL PRODUCT MANAGER H/M (46)', 'location': 'Valencia', 'seniority': 'Manager'}",1.0,Unknown
"{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'Product & Quality Assurance Manager – Sector Espacio y Defensa', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_4.csv', 'title': 'Product & Quality Assurance Manager – Sector Espacio y Defensa', 'location': 'Unknown', 'seniority': 'Manager'}",0.8,Unknown
"{'file': '20250821_013418_DataPM_result_batch_4.csv', 'title': 'Business Analyst/Product Owner. Healthcare. Clinical data', 'location': 'Nashville', 'seniority': 'Senior'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Business Analyst/Product Owner. Healthcare. Clinical data', 'location': 'Nashville', 'seniority': 'Senior'}",1.0,Trinetix
"{'file': '20250821_013418_DataPM_result_batch_4.csv', 'title': 'Business Analyst/Product Owner. Healthcare. Clinical data', 'location': 'Nashville', 'seniority': 'Senior'}","{'file': '20250821_163730_DataPM_result_batch_2.csv', 'title': 'Business Analyst/Product Owner. Healthcare. Clinical data', 'location': 'Nashville', 'seniority': 'Senior'}",1.0,Trinetix
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Business Analyst/Product Owner. Healthcare. Clinical data', 'location': 'Nashville', 'seniority': 'Senior'}","{'file': '20250821_163730_DataPM_result_batch_2.csv', 'title': 'Business Analyst/Product Owner. Healthcare. Clinical data', 'location': 'Nashville', 'seniority': 'Senior'}",1.0,Trinetix
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Unknown'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",0.8,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Unknown'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",0.8,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Unknown'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Unknown'}",1.0,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Unknown'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",0.8,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Unknown'}","{'file': '20250821_163730_DataPM_result_batch_2.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",0.8,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Unknown'}",0.8,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250821_163730_DataPM_result_batch_2.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Unknown'}",0.8,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250821_163730_DataPM_result_batch_2.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Unknown'}","{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",0.8,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Unknown'}","{'file': '20250821_163730_DataPM_result_batch_2.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",0.8,BrainRocket
"{'file': '20250821_163730_DataPM_result_batch_1.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250821_163730_DataPM_result_batch_2.csv', 'title': 'Product Owner', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,BrainRocket
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Manager'}",0.8,BrainRocket
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,BrainRocket
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}","{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}",1.0,BrainRocket
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'Crypto Product manager', 'location': 'Valencia', 'seniority': 'Manager'}",0.8,BrainRocket
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}",0.8,BrainRocket
"{'file': '20250822_143048_DataPM_result_batch_1.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_3.csv', 'title': 'Product Manager', 'location': 'Valencia', 'seniority': 'Mid'}",0.8,BrainRocket
"{'file': '20250822_143048_DataPM_result_batch_2.csv', 'title': 'Crypto Product manager', 'location': 'Valencia', 'seniority': 'Manager'}","{'file': '20250822_143048_DataPM_result_batch_4.csv', 'title': 'Crypto Product manager', 'location': 'Valencia', 'seniority': 'Unknown'}",0.8,BrainRocket
