Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Product Manager,Product Manager,Seedtag,Spain,Comunidad de Madrid,Madrid,Full-time,5+,Manager,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; Stakeholder Management; Cross-functional Collaboration; Communication; Problem Solving; Analytical Thinking; Business Acumen; Strategic Thinking,Engineering; Other,
"Product Manager, Consumer Trading",Product Manager,Kraken,European Economic Area,Unknown,Unknown,Full-time,3-5,Mid,Product Strategy; Product Development; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Data Analysis; Data Visualization; Product-led Growth (PLG); Growth Hacking; Pricing Strategy; Churn Reduction; Communication; Stakeholder Management; Experimentation; Funnel Analysis,,SQL
Credit Product Manager (SME Business Lending),Product Manager,Revolut,Spain,Unknown,Unknown,Full-time,5+,Lead,Product Development; Product Launch; Product Strategy; Market Research; Competitive Analysis; User Research; UI/UX Design; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Requirements Gathering; Data-driven decision making; Risk Management; Business Acumen; Analytical Thinking; Problem Solving; Communication; Negotiation,,
"Technical Product Manager - Producto API - scrum, agile - remoto (*A)",Product Manager,BETWEEN TECHNOLOGY,Spain,Community of Madrid,Madrid,Full-time,5+,Unknown,Stakeholder Management; Cross-functional Collaboration; Communication; Agile; Scrum; Product Development; Product Roadmapping; Feature Prioritization; Product Analytics; Product Strategy; OKRs; API,,Swagger; OpenAPI
Product Manager (relocation to Abu Dhabi,Product Manager,Presight,European Union,Unknown,Unknown,Unknown,5+,Manager,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Communication; Analytical Thinking,Bachelor's Degree; Engineering,Figma
Product Manager Identity Verification & Fraud,Product Manager,Microblink,European Union,Unknown,Unknown,Full-time,3-5,Manager,Product Strategy; Product Development; Product Roadmapping; Market Research; Product Analytics; Stakeholder Management; Cross-functional Collaboration; Agile; Communication; Problem Solving; Strategic Thinking; Analytical Thinking; Data Analysis; KPI Definition; Metrics Design; Data-driven decision making,Bachelor's Degree; Engineering; Business,
Product Manager,Product Manager,Unknown,European Union,Unknown,Unknown,Full-time,5+,Manager,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; Market Research; Competitive Analysis; Product Lifecycle Management; Stakeholder Management; Cross-functional Collaboration; Communication; Presentation Skills; Analytical Thinking; Business Acumen; Product Analytics,Bachelor's Degree; Master's Degree,
Principal Product Manager,Product Manager,Welltech,Spain,Catalonia,Barcelona,Full-time,3-5,Unknown,Product Strategy; Product Roadmapping; Market Research; Competitive Analysis; Product Development; Product Launch; Agile; Scrum; A/B Testing; Data Analysis; User Research; Stakeholder Management; Cross-functional Collaboration; Communication; Product Lifecycle Management; User Stories,,
"Staff Product Manager (remote, UTC-3 to UTC+3)",Product Manager,Checkly,Spain,Community of Madrid,Madrid,Full-time,5+,Senior,Product Strategy; Product Development; Product Launch; Product Roadmapping; Feature Prioritization; User Stories; Requirements Gathering; Market Research; Competitive Analysis; Product Analytics; Growth Hacking; Stakeholder Management; Cross-functional Collaboration; Executive Communication; Product Lifecycle Management; Agile; OKRs; KPI Definition,,Slack; Microsoft Teams; Zoom; Google Meet; Miro; Mural; Whimsical; Lucidchart; Jamboard; FigJam; MS Whiteboard; Jira; Confluence; Notion; Trello; Asana; ClickUp; Monday.com; Wrike; Figma
Sales Account & Product Manager Iberia – Compounding / Plastic Materials,Product Manager,IMCD,Spain,Unknown,Unknown,Unknown,5+,Manager,Stakeholder Management; Cross-functional Collaboration,Engineering,Salesforce
