"Job title (original)","Job title (short)","Company","Country","State","City","Schedule type","Experience years","Seniority","Skills","Degrees","Software"
"Investment and Operations Intern (6-12 months)","Unknown","NatureRe Capital","Spain","Valencian Community","Valencia","Full-time","0-3","Intern","Project Management; Market Research; Financial Analysis; Sales enablement understanding","Other","Python; R; VBA; Microsoft Office; Excel; PowerPoint; Word"
"Valuations & Portfolio Reporting Analyst","Business Analyst","Unknown","Spain","Valencian Community","Valencia","Unknown","0-3","Unknown","Financial Analysis; Auditing","Master's Degree; Bachelor's Degree","Excel"
"Snr Operations Manager","Operations Manager","IC Resources","Spain","Valencian Community","Valencia","Full-time","5+","Manager","Process Optimization; Supply Chain Management; Quality Assurance; Quality Control; Stakeholder Management; Cross-functional Collaboration; Supplier / Vendor Management","",""
"Senior Credit Risk Analyst","Risk Analyst","Octopus Energy Spain","Spain","Valencian Community","Valencia","Full-time","5+","Lead","Data Analysis; Stakeholder Management; Negotiation; Communication; Problem Solving; Critical Thinking; Analytical Thinking","","SQL; Python; Excel"
"Operations Planner & Business Support","Operations Manager","Yusen Logistics","Spain","Valencian Community","Valencia","Full-time","0-3","Unknown","Customer Success alignment; Account Management basics","Other","Microsoft Office; Excel; PowerPoint; Word; Outlook; Google Workspace"
"Ndt Manager","Operations Manager","Unknown","Spain","Valencian Community","Valencia","Unknown","5+","Manager","Team Management; Stakeholder Management","",""
"Operations Manager, West Europe","Operations Manager","Intrepid","Spain","Valencian Community","Valencia","Full-time","5+","Manager","Cross-functional Collaboration; Process Optimization; Stakeholder Management","","Microsoft Office"
"Governance Risk & Compliance Analyst","Compliance / Regulatory Specialist","XTEL","European Union","Unknown","Unknown","Full-time","3-5","Unknown","Risk Management; Regulatory Compliance; Auditing; Process Optimization; Stakeholder Management; Communication; Problem Solving","","Microsoft Office; Azure"
"Portfolio Analyst","Research Analyst","FundRock","Luxembourg","Valencian Community","Luxembourg","Unknown","3-5","Unknown","Financial Analysis; Risk Management; Communication; Problem Solving","Bachelor's Degree","Excel; Microsoft Office"
"Senior Analyst (Growth)","Product Analyst","Simple Life","European Economic Area","Unknown","Unknown","Unknown","5+","Senior","Data Analysis; Data Visualization; Statistical Analysis; Predictive Analytics; Machine Learning; A/B Testing; Hypothesis Testing; Funnel Analysis; Cohort Analysis; Experiment Design; Experiment Analysis; Stakeholder Management; Communication; Business Intelligence; Data Warehousing; Experimentation","","Python; Looker; Tableau; Power BI; Airflow; dbt; XGBoost; LightGBM; Slack; Microsoft Teams; Zoom; Google Meet; SQL"
