Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Business Analyst,Business Analyst,Second Window,Unknown,Unknown,Unknown,Full-time,0-3,Unknown,Project Management; Cross-functional Collaboration; Business Acumen,,Python; SQL; AWS
Data Analyst,Data Analyst,Unknown,Unknown,Unknown,Unknown,Full-time,0-3,Unknown,Data Analysis; Machine Learning; Problem Solving; Communication,Engineering; Other,R; Python; SQL; Tableau; Power BI; AWS; Azure
Data Analyst,Data Analyst,Graphic Packaging International,United States,GA,Atlanta,Full-time,Unknown,Unknown,Data Analysis; Communication; Problem Solving; Business Acumen,,SQL; Power BI
Data Analyst,Data Analyst,Siroko,Unknown,Unknown,Unknown,Full-time,3-5,Mid,Data Analysis; Communication; Process Optimization,,SQL; Google Analytics; Looker
Business Analyst,Business Analyst,Gammaux,Unknown,Unknown,Barcelona,Full-time,0-3,Unknown,Data Analysis; Marketing; Communication; Problem Solving; Process Optimization; Technical Writing; Business Acumen; Cross-functional Collaboration,Bachelor's Degree,SQL
Online Data Analyst - Spain,Data Analyst,TELUS Digital AI,Spain,Unknown,Unknown,Contract,0-3,Unknown,Data Analysis,,
Online Data Analyst,Data Analyst,TELUS Digital AI,Spain,Unknown,Unknown,Part-time,0-3,Unknown,Data Analysis; Communication; Problem Solving,,
Data Analyst - Travel Industry,Data Analyst,AIC Travel Group SA,Switzerland,Unknown,Geneva,Full-time,0-3,Unknown,Data Analysis; Marketing; Communication; Problem Solving; Business Acumen,,Microsoft Excel; HubSpot; Looker
Data Analyst,Data Analyst,Inetum,Spain,Unknown,Unknown,Unknown,3-5,Unknown,Data Analysis; Problem Solving,,SQL; Python; Apache Spark; PostgreSQL; AWS
Business Analyst. Banking Data Area,Business Analyst,Second Window,Unknown,Unknown,Unknown,Unknown,3-5,Unknown,Business Acumen; Communication; Problem Solving; Agile; Cross-functional Collaboration,,SQL; Jira
