COMPANY,JOB TITLE,LOCATION,JOB DESCRIPTION LINK,SOURCE,REFERRED BY,SALARY,BENEFITS,APP SUBMITTED DATE
Altair | Soluciones Reales,Auxiliar administrativo,Paterna (Hybrid),https://www.linkedin.com/jobs/view/4257133838/?refId=53bacfd2-a7e0-41c0-a2d6-943b9982d101&trackingId=vVoNN%2FhrRnKpSczwanDqKQ%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-01 15:42:32
GESTION INMOBILIARIA ACIS SL,GESTION INMOBILIARIA ACIS SL,L'Alcúdia (On-site),https://www.linkedin.com/jobs/view/4260069517/?refId=53bacfd2-a7e0-41c0-a2d6-943b9982d101&trackingId=2acgv0NKRi2EGqDTkTWKPQ%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-07-31 15:42:32
BlueBull,Junior Finance - Valencia,Greater Valencia Metropolitan Area (On-site),https://www.linkedin.com/jobs/view/4257145667/?refId=53bacfd2-a7e0-41c0-a2d6-943b9982d101&trackingId=MBrILKuBTgWUiwR5ux%2BuXA%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-20 15:42:32
Andreu World,"Back Office con inglés 
, Verified",Chiva (On-site),https://www.linkedin.com/jobs/view/4256914609/?refId=53bacfd2-a7e0-41c0-a2d6-943b9982d101&trackingId=PPf4SXyiRu%2ByPNIjlRYKfw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-02 15:42:33
"Comeval Valve Systems, SPAIN",Recepcionista,Valencia (On-site),https://www.linkedin.com/jobs/view/4256468344/?refId=53bacfd2-a7e0-41c0-a2d6-943b9982d101&trackingId=29xg%2BPieR0yeTPbMM4sbpw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-14 15:42:33
Tramiting,Administrativ@ subvenciones,Paterna (Hybrid),https://www.linkedin.com/jobs/view/4256675080/?refId=53bacfd2-a7e0-41c0-a2d6-943b9982d101&trackingId=8exJXJD7Q2aL1DZfaNkHuA%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-15 15:42:34
WeHunt España,Consultor Sistemas JR,Valencia (On-site),https://www.linkedin.com/jobs/view/4259171575/?refId=53bacfd2-a7e0-41c0-a2d6-943b9982d101&trackingId=lAL3ugkxR%2FmfvuJsKbca4A%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-22 15:42:34
Wild Balance,Account Receivables Specialist,Valencia (Hybrid),https://www.linkedin.com/jobs/view/4260290538/?refId=53bacfd2-a7e0-41c0-a2d6-943b9982d101&trackingId=7c5giS1OQjmoX6XxIo6mPw%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-22 15:42:34
Talentae,Administrativo/a Compras Automoción (mercado asiático),Moncada (On-site),https://www.linkedin.com/jobs/view/4260261679/?refId=53bacfd2-a7e0-41c0-a2d6-943b9982d101&trackingId=BnBbczpUQKWEuyjxkV56Ig%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-15 15:42:35
OHLA Group,"Técnico/a de Calidad y Medioambiente 
, Verified",Sagunto (On-site),https://www.linkedin.com/jobs/view/4258641062/?refId=53bacfd2-a7e0-41c0-a2d6-943b9982d101&trackingId=qWItkSSjT6W8wYnj%2BtUzbg%3D%3D&trk=flagship3_job_home_appliedjobs,,,,,2025-08-12 15:42:35
