title,company,location,description
Business Analyst,Odoo,"Valencia, Valencian Community, Spain","About the job El departamento de Odoo España Business Service está buscando a profesionales como tú, que nos ayuden a cumplir nuestra misión: Liderar el mercado español de las ERPs, al mismo tiempo que nos damos a conocer y hacemos que las empresas sean más eficientes y productivas. En Odoo creemos en tu talento, y estamos dispuestos a darte confianza, autonomía y escuchar tus propuestas. Buscamos a una persona proactiva, con gran capacidad de aprendizaje y sobre todo, que tenga las mismas ganas que nosotros de hacer crecer este proyecto. En qué consistirá tu trabajo... Como Business Analyst, estarás en contacto directo con los clientes para ayudarles en el buen uso del software Odoo. Por lo tanto, tu principal rol será analizar sus necesidades, identificar puntos débiles o de mejora y ayudar a encontrar la mejor solución para cada una de sus unidad del negocio. Así pues, serás responsable de ofrecer la solución que permita a los clientes gestionar sus negocios de la forma más eficiente posible! Trabajarás en varios proyectos diferentes al mismo tiempo. En las primeras semanas, te involucras rápidamente en tus primeros proyectos recibiendo el apoyo de compañeros más experimentados. Irás aumentando progresivamente tu nivel de autonomía, al mismo tiempo que trabajas en equipo con grandes profesionales de diferentes sectores. Queremos destacar también, que no tendrás tiempo de aburrirte, ya que, ¡Cada proyecto es siempre diferente! Además, impartirás sesiones de formación personalizadas. Por otra parte, serás un apoyo estratégico enfocado al crecimiento de nuestra red de socios a nivel mundial . En este sentido, te responsabilizarás de la formación de nuestros partner, a los que ayudarás a implementar los proyectos de sus clientes, y por tanto, a convertirse en expertos en Odoo. El principal objetivo del rol Business Analyst es implantar nuestro software ERP, adaptarlo a las necesidades de los clientes, migrar sus datos e impartir formación y asesoramiento personalizado para cada cliente. Responsabilidades 🤩 Implementación de proyectos (80% de tu tiempo) Ganar la confianza de tus clientes Analizar las necesidades del cliente y proponer soluciones Implementar las soluciones acordadas (configuración y desarrollo) Convierte a tu cliente/socio en un campeón de Odoo (formación) Gestión de proyecto - Seguir el proyecto y comunicar su estado y las tareas en curso Organización y seguimiento de las implantaciones de Odoo Mejoras internas (20% de tu tiempo) Feedbacks a los Product Owners para mejorar el producto Coaching & Training Feedbacks para la mejora de tu departamento Requisitos 💪 Hablar español e inglés fluido/ otro idioma será un plus Multitasking Buena capacidad de comunicación Autónomo, flexible y proactivo Afinidad con el mundo de la informática Permiso de trabajo válido para España Sera un plus si tienes.... 👍 Experiencia en la implantación de software de gestión (ERP) Conocimientos técnicos (XML, Python, JS, HTML) 👐 Qué podrás esperar de nosotros? Somos un equipo muy dinámico y colaborativo, generar impacto es lo nuestro! Formación inicial y contínua Una cultura hecha por y para los trabajadores 🫶 Café y fruta, cátering los días de oficina Jornada de 38.5h semanales Beneficios interesantes 🌚 Trabajo hibrido (2 días de teletrabajo) Te escuchamos! Promovemos el feedback y la mejora continua 🙏🏾 Resuena lo anterior con lo que buscas? APLICA YA!!"
Data Analyst & Business Partner,Holafly,Spain,"About the job ✦ About us Holafly is a fast-growing start-up that is changing how travelers connect to the internet abroad. Since 2018, we’ve been providing peace of mind to travelers to more than 200 worldwide destinations. We are a young and international team of over 500 people based all around the world working to provide stress-free experiences for all travelers. ✦ About the role This position is responsible for transforming data into actionable insights while acting as a key liaison between data teams and business stakeholders. The role ensures that data-driven strategies align with organizational goals and that business needs are effectively translated into analytical solutions. ✦ Responsibilities Analyze and interpret complex datasets to generate meaningful and actionable insights Build reports and dashboards that communicate data clearly to various audiences Support business units in leveraging BI tools for performance tracking and decision-making Act as the primary point of contact between business stakeholders and data teams Gather, understand, and translate business requirements into data solutions Recommend and guide stakeholders on how to use data to achieve business objectives Monitor data usage and adoption across departments, encouraging data literacy Collaborate with Data Engineers, Analysts, and other technical roles to ensure the delivery of scalable data products Forecasting & Reporting Assist in building forecasting models for revenue, costs, and margins Provide regular reports to track performance vs. targets and commitments Support ad-hoc data requests for business reviews and strategic initiatives Dashboard Development & Maintenance Create and maintain dashboards tailored to the Business Directorate’s needs Ensure data accuracy and timely updates to support strategic planning Coordinate with the Data Team to prioritize and accelerate dashboard requests ✦ What you need to succeed Bachelor's degree in Business, Economics, Statistics, Computer Science, or a related field. Proven experience in data analysis, business intelligence, or a similar hybrid role. Strong knowledge of BI tools (e.g., Power BI, Tableau) and data querying (SQL). Excellent communication skills with the ability to bridge the gap between technical and non-technical teams. Solid understanding of business metrics: gross margin, ARPU, churn, commitments. Experience in pricing impact analysis and scenario modeling Strong business sense and ability to understand and prioritize stakeholder needs Experience gathering requirements and driving cross-functional collaboration A proactive and consultative approach to problem-solving and opportunity discovery Fluency in English (written and spoken) Nice to Have: Fluency in Spanish (written and spoken) ✦ Benefits of boarding on Holafly 20 days paid time off Education bonus Great company culture and international environment! Highly-skilled teammates and lots of opportunities for growth and development! Remote job Apply now and help us to keep the world connected together! Visit us at Holafly to explore open positions and learn more about our mission. Powered by JazzHR pW7B96VCT1"
Business Analyst,Capitole,Spain,"About the job 🔹 Oportunidad en Capitole – Business Analyst (RRHH)🔹 En Capitole Consulting buscamos un/a Business Analyst para unirse al equipo, trabajando en proyectos relacionados con sostenibilidad, ESG, economía circular y recursos humanos. El objetivo principal será analizar, documentar y optimizar procesos de negocio, actuando como puente entre las necesidades de negocio y los equipos técnicos, asegurando que las soluciones estén alineadas con la estrategia global de la organización. Responsabilidades del puesto 🔹 Recopilar y analizar necesidades mediante entrevistas, talleres y documentación. 🔹 Documentar y modelar procesos de negocio para identificar oportunidades de mejora. 🔹 Traducir necesidades en requisitos funcionales y no funcionales para equipos técnicos. 🔹 Colaborar con stakeholders en la priorización y gestión de requisitos durante el ciclo de desarrollo. Must Have 🔹 Experiencia como Business Analyst en entornos tecnológicos o de transformación digital. 🔹 Experiencia práctica en proyectos Agile (Scrum, Kanban) y waterfall. 🔹 Nivel alto de inglés (mínimo C1). 🔹 Excelentes habilidades de comunicación para interlocución con áreas técnicas y de negocio. 💙 ¿Por qué unirte a nosotros? 📘 1.200€ al año en formación 🏥 Seguro médico privado gratuito 🔹 Retribución flexible en transporte, guardería y tickets restaurante 🏋️ ♂️ Acceso a +10K gimnasios por toda España en Wellhub (Gymforless) 🎉 Eventos, team buildings y afterworks cada dos meses ⚽ Patrocinamos nuestro equipo de fútbol si te animas a jugar 🔧 Comunidades tecnológicas inTernas para compartir y crecer juntos 👉 Sabemos lo importante que es informarte de la empresa, cultura y opiniones de otros profesionales del sector. Por esto, te invitamos a investigar sobre nosotros en: ✨ ¿Quieres saber más? Haz clic here 🖱️ y descubre todos los detalles. 🔍 Descubre lo que dicen sobre nosotros en Glassdoor Reviews 🕵️ ♀️ 🎥 ¿Te gustaría conocer más sobre nuestra cultura? Mira este video 👉 YouTube ¿Te animas a este gran reto y equipo? 🚀 Empowering People, Unlocking Innovation El empleado se adherirá a las políticas de seguridad de la información. Tendrá acceso a información confidencial relacionada con Capitole y el proyecto en el que está trabajando. Deberá cumplir con las políticas de seguridad y las pautas internas de la empresa y del cliente. Se le requerirá firmar un NDA."
Business Analyst,Sollers Consulting,"Valencia, Valencian Community, Spain","About the job About Business Consulting: Continuous growth and agile way of collaboration defines our Business path. Everything we do – from requirements analysis, through testing to creating new solutions – is done with passion and high-quality assurance. With an open mind and business advisory craft at hand, our innovative teams lead our international clients to success. About our promises. We can offer 🧭 Flexible working hours and a hybrid home office model (2-3 times per week in the office) as work-life balance is crucial at Sollers 💸 A chance to be promoted twice a year 🏸 A clearly defined career path and salary forecast 🌱 Opportunities for growth with a training budget that you can use for courses, conferences. We also provide access to an online course platform and organize and co-fund language classes 🧒 An internal coach to guide you through the onboarding and further training and career opportunities and a budget to be used for your lunches together 🐕‍🦺 A chance to #domore for the planet and the community as part of Sollers Change Makers - our volunteering program 🎉 Lots of teambuilding activities, trips, hobby groups and cultural events to create a company powered by teamwork 🎮🍦 Great places to work: comfortable offices in city centers with chill zones (foosball tables, PS5, etc.) and team lunches on regular basis 🧘 🤸💊 Probably all the benefits you can think of About the role. You will: Be a part of consulting or implementation team during IT projects for financial institutions, primarily insurance companies Conduct business analysis, define functional requirements, and test developed solutions and support UATs Work closely with software developers and IT architects on a daily basis Be an active member of an Agile team, taking ownership for your topics Test yourself in various roles performing varied tasks in an international environment About the requirements. You need: At least 2 years of experience in IT projects for the financial sector, preferably insurance or bancassurance. At least a bachelor's degree, preferably in finance, business, economics, IT, or similar fields. Great command of English and Spanish language, being fully confident collaborating with native speakers (at least C1 level). Understanding agile ways of working. Proven ability to apply both intuitive and analytical reasoning to approach complex problems. To be able to work in Spain and the European Union on a full-time basis. Willingness to travel regularly. About the wishes. Nice to haves: Familiarity with insurance business processes. Experience working in fintech, consulting, implementation, or IT company, especially in the fields of insurance or bancassurance. Team leadership skills and management experience. Additional languages. While having the main office in Valencia, you want to work with our Clients abroad, traveling up to 50% of your work time."
"Business Analyst (productos/procesos bancarios) (100% remoto, solo España)",UST España & Latam,Spain,"About the job ¡Seguimos buscando talento…y nos encantaría que te unieras a nuestro equipo! Para que nos conozcas algo mejor, UST es una multinacional norteamericana certificada como Top Employer y Great Place To Work, con más de 35.000 empleados a nivel global y con presencia en más de 35 países. Somos líderes en servicios de tecnología digital y proporcionamos soluciones tecnológicas de gran alcance a grandes compañías. ¿Qué buscamos? Estamos en búsqueda de un/a Business Analyst con experiencia en productos y/o procesos bancarios, con posibilidad de trabajar de forma 100% remota, junto con uno de nuestros clientes, líder en su sector a nivel nacional. Modalidad: Teletrabajo Horario: de L-V de 9.00 a 18.00 horas. Objetivos del puesto: Apoyar al Product Owner del producto en proyectos de IT dentro del dominio. Requisitos Necesarios: 3 años de experiencia mínima en rol de Business Analyst. Experiencia en comunicación efectiva con stakeholders digitales: Es importante que el candidato tenga experiencia en mantener una comunicación fluida y transparente con todas las partes interesadas digitales, incluyendo clientes, equipos de desarrollo, equipos financieros y reguladores, asegurando una comprensión compartida de los requisitos, expectativas y progreso del proyecto digital. Conocimiento de uno o varios productos / procesos bancarios (cuentas, pagos, tarjetas, contabilidad, préstamos, depósitos, Contact center, wealth, onboarding, etc.). Uso de Jira y Confluence. Experiencia en proyectos bajo metodología Agile (Skrum, Kanban, etc.). Buenas habilidades comunicativas para trabajar en equipo de forma colaborativa. Muy buenas habilidades con Power Point para documentar los distintos procesos. Tener experiencia trabajando con áreas cross de la compañía (Legal, Compliance, Producto…) para trasladar sus necesidades/especificaciones a requerimientos funcionales del producto. Principales funciones: Toma de requerimientos Planificación de requerimientos Seguimiento de los desarrollos de los equipos Preparación, seguimiento y validación del testing Paquetización de requerimientos para subidas a entornos Pre / Pro Gestión de incidencias Reporting interno y seguimiento de KPIs Realización de Presentaciones (PPT) Idiomas: Español Nativo Ingles C1 ¿Qué te ofrecemos? 23 días laborables de vacaciones y el 24 y 31 de diciembre. Numerosos beneficios sociales (seguro médico, ayuda al teletrabajo, seguro de vida y seguro de accidentes). Programa de Retribución Flexible (tarjeta comida, cheques guardería, tarjeta transporte, clases de inglés online, seguro médico para tu familia…). Acceso gratuito a varias plataformas de formación. Estabilidad y carrera profesional. Tenemos implantado un plan de compensación de referencias internas. Posibilidad de elección de percibir tu salario en 12 o 14 pagas. Medidas de conciliación (teletrabajo, asesoramiento de especialistas (psicólogo, nutricionista, entrenador personal). Plataforma UST Club descuentos y descuentos en gimnasios. Si quieres conocer más, no dudes en inscribirte y nos pondremos en contacto contigo para ampliarte información de la posición ¡Te estamos esperando! En UST nos comprometemos con la igualdad de oportunidades en nuestros procesos de selección y no realizamos ningún tipo de discriminación por razón de raza, género, discapacidad, edad, religión, orientación sexual o nacionalidad. Estamos comprometidos con la discapacidad y apostamos por la incorporación de personas con certificado de discapacidad."
Business Analyst,Asenium Consulting,European Union,"About the job For one of our customers, we are looking for a Business Analyst with strong experience in industrial operations to support IT teams. Duration: 3+ months(renewable) Location: Europe(100% remote) Description: We are looking for a business analyst with extensive experience in Industrial, to support the IT team, and to liaise with the businesses and the Center of excellence. The ideal candidate will be involved in reporting, process optimization, maintenance, quality, and production-related topics. This role includes defining functional specifications, mapping processes and data, and supporting the delivery of operational and analytical solutions. Key Responsibilities: Collaborate with business stakeholders and Centers of Excellence to gather requirements Write functional specifications and translate them into technical discussions Work with IT teams to deliver industrial reporting and data solutions Support ongoing operations and incident resolution Ensure compliance with export control regulations (e.g., ITAR, EAR) Participate in CMMC readiness planning Contribute to the digital transformation of industrial processes Skills Required: Proven experience in business analysis within industrial domains (e.g., production, maintenance, process optimization, quality control). Strong expertise in reporting and analytics tools such as Power BI, QlikSense, and SAP BW. Ability to write business requirement documents and functional specifications. Familiarity with AVEVA PI for industrial data collection and monitoring. Knowledge of Microsoft Azure and Microsoft Fabric. Good understanding of functional architecture and data architecture. Exposure to digital transformation initiatives within industrial environments. Familiarity with export control regulations such as ITAR and EAR. Awareness of CMMC compliance requirements is a plus. Strong communication and stakeholder coordination skills. Fluent in English; proficiency in French or another language is a plus."
Freelance Business Analyst - AI Trainer,Mindrift,Spain,"About the job This opportunity is only for candidates currently residing in the specified country. Your location may affect eligibility and rates. At Mindrift, innovation meets opportunity. We believe in using the power of collective intelligence to ethically shape the future of AI. What We Do The Mindrift platform connects specialists with AI projects from major tech innovators. Our mission is to unlock the potential of Generative AI by tapping into real-world expertise from across the globe. About The Role We are looking for a sharp, structured, and intellectually curious business analyst who can dive into a specific industry or problem area and extract a clear, structured understanding of its processes, roles, and task landscape. Your mission: help us reverse-engineer how work is done in a particular domain - who does what, what decisions are made, what edge cases exist, and how workflows are structured. Your output will be used to build high-quality evaluation tasks and agent simulations. Although every project is unique, you might typically: Analyze how a procurement department handles vendor onboarding, and list all key steps, documents, decisions, and failure points Research the typical day of a customer support agent in fintech and structure it into reproducible tasks Create a list of evaluation scenarios based on how HR departments handle leave requests, performance reviews, and conflict resolution Interview an industry SME (or use online materials) to produce a structured map of compliance workflows in healthcare How To Get Started Simply apply to this post, qualify, and get the chance to contribute to projects aligned with your skills, on your own schedule. From creating training prompts to refining model responses, you'll help shape the future of AI while ensuring technology benefits everyone. Requirements You have a Bachelor's Degree, Master's Degree or PhD in Business Administration, Information Systems or Analytics, Computer Science, Engineering or in relevant area is required You have a 3 years of professional experience ideally as analyst or in a relevant fields Your level of English is advanced (C1) or above. You are ready to learn new methods, able to switch between tasks and topics quickly and sometimes work with challenging, complex guidelines. Our freelance role is fully remote so, you just need a laptop, internet connection, time available and enthusiasm to take on a challenge Benefits Why this freelance opportunity might be a great fit for you? Take part in a part-time, remote, freelance project that fits around your primary professional or academic commitments Work on advanced AI projects and gain valuable experience that enhances your portfolio Influence how future AI models understand and communicate in your field of expertise"
Business Analyst (Pricing & Operations),IVC Evidensia España,"Valencia, Valencian Community, Spain","About the job Sobre nosotros IVC Evidensia es el mayor grupo veterinario de Europa, y continuamos nuestra estrategia de crecimiento en España y Portugal, donde ya somos más de 150 centros de primer nivel. Creemos en la calidad clínica y en la excelencia en la gestión como mayores activos. Nuestros valores son la integridad, la lealtad y el respeto por nuestros compañeros, clientes y pacientes. Sobre el puesto En este puesto podrás colaborar de manera directa en el impulso de iniciativas estratégicas en toda la empresa, así como al apoyo en los procesos de pricing. Trabajarás directamente con conjuntos de datos complejos y colaborarás estrechamente con equipos multifuncionales, participando en proyectos que definen nuestra dirección comercial y operativa. Algunas de las funciones incluyen: Analizar grandes conjuntos de datos para identificar oportunidades y apoyar la toma de decisiones. Apoyar la actualización de precios y contribuir a la definición y ejecución de nuestra estrategia de pricing. Participar activamente en la integración de nuevos hospitales en la empresa. Colaborar con el Responsable de Pricing, PMO y los equipos Comerciales para impulsar iniciativas clave y apoyar la toma de decisiones estratégicas. Crear dashboards, informes y presentaciones para los stakeholders senior. Participar en la planificación y coordinación de proyectos entre departamentos. Buscamos Un/a Business Analyst para unirse a nuestro equipo. Esta es una gran oportunidad para alguien que quiera crecer en un entorno dinámico y sienta curiosidad por la gestión de proyectos y la ejecución estratégica — con posibilidades de crecer y asumir responsabilidades más amplias con el tiempo. Requisitos: Experiencia mínima de 3 años en desarrollo de negocio, análisis de negocio, pricing u otros roles similares. Excel avanzado; experiencia con SQL, Power BI u otras herramientas similares es muy valorada. Buen conocimiento de modelos de pricing y KPIs de rendimiento empresarial. Habilidades sólidas de comunicación, organización y gestión de stakeholders. Interés en trabajar en proyectos multifuncionales y contribuir a la transformación del negocio. Español y inglés fluido; valorándose positivamente el portugués. Ofrecemos Contrato indefinido a jornada completa. Flexibilidad horaria. Salario competitivo fijo + variable. Plan bienestar Well Being. Oportunidades de desarrollo profesional. Trabajo híbrido. Ofrecemos una trayectoria profesional estable en una empresa y un sector en crecimiento, flexibilidad y autonomía en el desarrollo de tus funciones y condiciones competitivas, en un entorno corporativo cercano, dinámico y donde las personas son nuestra prioridad. Adicionalmente, te integrarás en un equipo consolidado de gran reputación en el sector. ¿Interesado/a? ¡No dudes en inscribirte a través de nuestra web! ¡Te esperamos!"
Analista de Negocio - Precios & Operaciones,IVC Evidensia,"Valencia, Valencian Community, Spain","About the job Sobre nosotros IVC Evidensia es el mayor grupo veterinario de Europa, y continuamos nuestra estrategia de crecimiento en España y Portugal, donde ya somos más de 150 centros de primer nivel. Creemos en la calidad clínica y en la excelencia en la gestión como mayores activos. Nuestros valores son la integridad, la lealtad y el respeto por nuestros compañeros, clientes y pacientes. Sobre el puesto En este puesto podrás colaborar de manera directa en el impulso de iniciativas estratégicas en toda la empresa, así como al apoyo en los procesos de pricing. Trabajarás directamente con conjuntos de datos complejos y colaborarás estrechamente con equipos multifuncionales, participando en proyectos que definen nuestra dirección comercial y operativa. Algunas de las funciones incluyen: Analizar grandes conjuntos de datos para identificar oportunidades y apoyar la toma de decisiones. Apoyar la actualización de precios y contribuir a la definición y ejecución de nuestra estrategia de pricing. Participar activamente en la integración de nuevos hospitales en la empresa. Colaborar con el Responsable de Pricing, PMO y los equipos Comerciales para impulsar iniciativas clave y apoyar la toma de decisiones estratégicas. Crear dashboards, informes y presentaciones para los stakeholders senior. Participar en la planificación y coordinación de proyectos entre departamentos. Buscamos Un/a Business Analyst para unirse a nuestro equipo. Esta es una gran oportunidad para alguien que quiera crecer en un entorno dinámico y sienta curiosidad por la gestión de proyectos y la ejecución estratégica — con posibilidades de crecer y asumir responsabilidades más amplias con el tiempo. Requisitos: Experiencia mínima de 3 años en desarrollo de negocio, análisis de negocio, pricing u otros roles similares. Excel avanzado; experiencia con SQL, Power BI u otras herramientas similares es muy valorada. Buen conocimiento de modelos de pricing y KPIs de rendimiento empresarial. Habilidades sólidas de comunicación, organización y gestión de stakeholders. Interés en trabajar en proyectos multifuncionales y contribuir a la transformación del negocio. Español y inglés fluido; valorándose positivamente el portugués. Ofrecemos Contrato indefinido a jornada completa. Flexibilidad horaria. Salario competitivo fijo + variable. Beneficios corporativos IVC Evidensia Plan bienestar individual WellWo Oportunidades de desarrollo profesional. Trabajo híbrido. Ofrecemos una trayectoria profesional estable en una empresa y un sector en crecimiento, flexibilidad y autonomía en el desarrollo de tus funciones y condiciones competitivas, en un entorno corporativo cercano, dinámico y donde las personas son nuestra prioridad. Adicionalmente, te integrarás en un equipo consolidado de gran reputación en el sector. ¿Interesado/a? ¡No dudes en inscribirte a través de nuestra web! ¡Te esperamos!"
Business Analyst,Scalian Spain,Spain,"About the job ¡Ampliamos nuestro equipo! 🔎 ¿Buscas un nuevo reto donde desarrollar tu carrera y aprender nuevas tecnologías? Entonces sigue leyendo porque esto te puede interesar. Scalian es una empresa de más de 6.000 personas con una dimensión internacional, con oficinas en Europa y América del Norte. Estamos especializados en dar servicios a diferentes clientes enfocados en Data, Cloud e Inteligencia Artificial. ¿Qué buscamos? Desde Scalian Spain estamos en búsqueda de un/a Business Analyst con experiencia en entornos financieros y soporte a procesos críticos de producción, para incorporarse a un proyecto de larga duración en el sector bancario internacional. La persona seleccionada se integrará en un equipo ágil e internacional, trabajando en la gestión de incidentes, optimización de procesos batch y evolución de plataformas de P&L y Market Risk. 📌 Responsabilidades Hacer seguimiento, análisis y resolución de incidentes de producción, comunicando el estado a los diferentes stakeholders. Planificar y monitorizar procesos en Control-M, asegurando la correcta ejecución. Optimizar el rendimiento de los procesos de producción para mejorar su eficiencia y fiabilidad. Documentar incidencias y resoluciones en ServiceNow u otros sistemas de ticketing. Colaborar dentro de un squad Agile, facilitando la comunicación entre equipos técnicos y de negocio. Gestionar información compleja relacionada con derivados financieros, Market Risk y P&L. Proponer y documentar user stories o evoluciones en la plataforma de P&L. 🛠️ Skills requeridas +3 años de experiencia en soporte de producción de procesos batch críticos, operaciones IT o roles similares. Nivel avanzado en SQL y Excel. Experiencia en la gestión de procesos batch con Control-M (Job as Code valorable). Conocimientos en P&L y Clean P&L. Experiencia en PRISMA, MRI o Cristine II: P&L y VaR. Inglés y español fluidos (entorno internacional). Experiencia previa en sector financiero, especialmente con derivados. Habilidades de comunicación, organización y resolución de problemas. ⭐ Skills valorables Conocimientos de Murex. Experiencia con ServiceNow u otras herramientas de ticketing. Familiaridad con tecnologías Big Data (Cloudera, Databricks, Airflow, Spark, Scala). Experiencia en plataformas de analítica como ActiveViam (MARS) o Qlik. Entornos de gran volumen de datos y análisis avanzado. ¿Qué tendrás con nosotros? 🚀 Formar parte de un equipo de alto nivel bajo tecnologías punteras en el mercado. 💻 100% Teletrabajo ⛱ 25 días laborables de vacaciones 📝 Contrato indefinido 📚 Formación continua, certificaciones, meetups y planes de desarrollo profesional personalizados para que podamos seguir creciendo juntos. Contamos con acceso a plataformas internas con contenido abierto para que lo disfrutes cuando tú quieras y a tu ritmo. 🕐 Jornada completa con horario flexible para facilitar la conciliación entre vida familiar y profesional. 🎉 After works en las oficinas 🎂 La tarde del cumpleaños libre 🏋️ ♀️ Descuentos en gimnasios 💲Programas de retribución flexible: seguro médico, tarjeta restaurante, abono de transporte, cheques para escuelas infantiles. 🌏 Como parte del grupo Scalian, abrimos nuestras fronteras y crecemos internacionalmente. ♻️ En el grupo apostamos por iniciativas sostenibles. ¡Despega en tu carrera con Scalian Spain!✈"
Business Analyst (Technical),CORUS Consulting,Spain,"About the job Here at CORUS we are looking for a skilled Technical Business Analyst to to join our team for an international project of Insurance. Location: Remote from Spain. Main Responsibilities: Be responsible for underwriting AI application development related activities in coordination with the team to a continuous delivery of elaborated features into a number of project build factories. Develop the necessary confidence and AI knowledge to be able to investigate and elaborate features for AI-based underwriting applications and address the solution design needs from the team and stakeholders. Perform analysis across both systems and business processes to establish a good understanding of the required features across a number of potential scenarios. Develop use cases, perform option-impact assessments to determine and propose the best solution to adopt within a suite of AI-based underwriting tools. Elicit and document clear business requirements, ensuring the needs of all stakeholders and use cases and interactions with surrounding applications are considered. Contribute to the design of systems, preparing use cases, ensuring that the development team has a complete set of information to size the features. Design and execute testing of product features to elaborate within sprint cycles and assist in the preparation of user acceptance test cases in support of formal UATs where necessary. Work alongside third-party providers to ensure it meets the business need and achieve the envisaged benefits. Perform peer reviews for project artefacts to ensure specified standards are attained. Provide support for testing, implementation, and training activities. Requiered Skills: University level education or equivalent. 5 years of hands-on experience in the delivery of Business Analysis artefacts (e.g as-is analysis, use case, feature specifications, process design, functional specification, UAT, etc.) on business and IT change projects, preferably in the Insurance sector (ideally Commercial Insurance). Basic understanding of artificial intelligence concepts and technologies will be a distinct advantage. Understanding of Azure. Experience working in underwriting and understanding of ITIL principles will be valued. Advanced level of English (C1). What do we offer: Remote work from Spain. Flexible remuneration and a personalized training plan. People-focused team. Dynamic work environment, with real possibilities for professional growth. International projects of high technological value. At CORUS we are very conscious of the importance of respecting diversity. No one will be excluded from this call for applications on the grounds of race, colour, age, sex, marital status, ideology, political opinions, nationality, religion, sexual orientation and/or any other personal, physical or social condition. This process is aimed at choosing the best professionals through a selection process based exclusively on merit and skills."
