title,company,location,description
Product Designer,Bask Health,Spain,"About the job As a User Experience UX Engineer/Designer at Bask you will work directly with the CEO, Director of Design, and our remote team to build and design the software infrastructure that will serve as the backbone of telehealth. We are looking to expand our design, seeking those with deep rooted entrepreneurial spirit. Our serverless platform is built using Vercel, Next.js, Prisma and PlanetScale for a powerful multi-tenant application. As we continue to grow, we recognize the importance of providing our users with an exceptional experience, ensuring that our software is both powerful and user-friendly. We are now seeking a talented and innovative User Experience (UX) Designer to join our team and lead the rework of our user interface. Role and Responsibilities: As the User Experience Designer at Bask, you will be responsible for reworking our current user interface to make it more intuitive, user-friendly, and aesthetically appealing. Your goal will be to ensure that the software maintains its robust complexity while providing a seamless and enjoyable user experience. Your primary duties will include: Conducting thorough user research to understand our target audience, their needs, pain points, and preferences Collaborating closely with cross-functional teams, including software developers, product managers, and stakeholders, to gather insights and align design strategies Designing and creating wireframes, prototypes, and mockups to illustrate new interface concepts and interactions Evaluating and analyzing the existing UI, identifying areas for improvement, and proposing creative solutions to enhance usability Streamlining complex workflows, interactions, and information architecture to simplify the overall user experience Ensuring the new design aligns with the company's brand identity, values, and visual guidelines Conducting usability testing sessions and gathering feedback from users to validate design choices and iterate on improvements Staying up-to-date with the latest UX design trends, technologies, and best practices to continuously enhance our software Requirements Qualifications and Requirements: Proven work experience as a User Experience Designer, UI Designer, or a similar role with a strong portfolio showcasing successful UX projects Proficiency in design and prototyping tools such as Adobe XD, Sketch, Figma, or similar Deep understanding of user-centered design principles, usability, and accessibility standards Familiarity with software development processes and the ability to balance user experience improvements with technical feasibility Excellent communication skills and the ability to present and defend design decisions to stakeholders Strong problem-solving skills and a creative mindset, capable of finding innovative solutions to complex design challenges"
Process Designer SDLC,M&GT Consulting,Spain,"About the job En MGT Consulting buscamos un Especialista en Optimización de Procesos de Desarrollo con experienc en el desarrollo de software y enfoque en la optimización de procesos. El candidato seleccionado tendrá un rol clave en la definición del proceso de ideación dentro del SDLC (Software Development Life Cycle), permitiendo a los equipos de Sistemas planificar y preparar con anticipación los proyectos solicitados desde la SDA. Experiencia: Experiencia mínima de 3 años en desarrollo de software. Conocimiento profundo de metodologías ágiles y automatización de procesos. Experiencia en la implementación de procesos de desarrollo y optimización en entornos complejos. Habilidad para trabajar de forma transversal con múltiples equipos. Capacidad de liderazgo informal para facilitar consensos y procesos de alineación. Conocimiento en gestión de procesos con Jira, herramientas DevOps, y modelos de medición de KPIs. Nivel de inglés alto Responsabilidades principales: Definir y mejorar el proceso de ideación del SDLC. Diseñar procesos de desarrollo eficientes, eliminando fricciones y controles innecesarios. Facilitar la colaboración entre equipos multidisciplinarios distribuidos geográficamente. Liderar procesos de alineación entre stakeholders para promover prácticas estandarizadas. Aplicar modelos de medición e indicadores clave (KPIs) al ciclo de vida del software. Colaborar en la implementación de herramientas de automatización y DevOps. MGT Consulting es una Consultora Tecnológica y de Negocio con un fuerte bagaje profesional y especialización en sectores como la Banca, las Telecomunicaciones o la Industria. Somos una empresa joven y comprometida con la innovación y los cambios, por lo que apostamos fuerte por los nuevos retos de la tecnología: Big Data, Cloud, Desarrollo Digital o Movilidad. Trabajamos con los clientes más importantes de estos sectores, ofreciendo proyectos acordes a tu formación, experiencia y motivaciones profesionales. Ofrecemos: Incorporación a la plantilla de MGT Formación y seguimiento personalizado para tu desarrollo profesional (mentor). Participación en proyectos de tecnologías destacables en el sector. Salario acorde a la experiencia aportada Responsable del Tratamiento: Management & Global Technologies S.L Finalidad: Participar en los procesos de selección de personal del responsable del tratamiento Legitimación: Aplicación a solicitud del candidato, de medidas precontractuales o la intención de concluir el contrato de trabajo (Art. 6.1.b Rgpd) Destinatarios: Empresas en las que prestará sus servicios Ejercicio de Derechos: Tiene derecho a acceder, rectificar y suprimir sus datos, así como otros derechos que podrá consultar en nuestra política de privacidad. Puede ejercer sus derechos a través de la dirección de email *texto oculto*"
Product Compliance Junior sector de automoción,Aubay Spain,"Madrid, Community of Madrid, Spain","About the job Localidad : Madrid Provincia : Madrid Nº Vacantes (puestos) : 1 Funciones Grupo Aubay precisa incorporar un/a Product Compliance Junior para uno de sus clientes del sector de automoción ¿Quiénes somos Aubay? Somos una multinacional europea creada en 1997 con presencia en España desde hace más de 20 años, cotizamos en bolsa con el índice (EURONEXT: AUB), nuestra sede central en Paris, y presencia en Francia, Luxemburgo, Reino Unido, Bélgica, Italia, México, Portugal y España. Contamos con un equipo humano de más de 7.500 personas de las cuales, más de 2.500, desarrollan su trabajo en la Península Ibérica. Líderes en innovación y digitalización, acompañando a nuestros clientes en su transformación digital. ¿Cuáles van a ser tus funciones? Necesitamos un perfil junior que quiera formarse en el área de compliance dentro del sector automoción. Entre las funciones a realizar estarían: Apoyo en la recopilación y gestión documental Recopilar documentación técnica de componentes y sistemas (especificaciones, planos, ensayos). Organizar y mantener actualizados los expedientes de homologación (por ejemplo, conforme a UNECE, ISO 26262, IATF 16949). Digitalizar y archivar certificados de cumplimiento, como RoHS, REACH, IMDS, etc. Asistencia en el cumplimiento de normativas automotrices Apoyar en la revisión de requisitos normativos que afectan a piezas o sistemas del vehículo. Ayudar en la verificación del cumplimiento de reglamentos UNECE, directivas europeas, o requisitos específicos de OEMs. Soporte con IMDS (International Material Data System) Cargar información de materiales y componentes en el sistema IMDS, siguiendo las normas del cliente y los requerimientos de la cadena de suministro. Verificar que la información recibida de proveedores sea válida y esté completa. Coordinación con proveedores Solicitar a proveedores documentación de cumplimiento, certificados, y declaraciones de sustancias (RoHS, REACH, Conflict Minerals, etc.). Hacer seguimiento a entregas de documentación pendiente. Verificar que los proveedores estén dados de alta correctamente en sistemas internos. Revisión básica de etiquetado y marcado Apoyar en la revisión del etiquetado de componentes conforme a las normativas y especificaciones OEM. Verificar que los productos estén marcados según el reglamento aplicable (p. ej., marca E para homologación europea). Soporte en auditorías y control de calidad Ayudar en la preparación de auditorías de calidad o cumplimiento normativo. Reunir evidencias documentales solicitadas por auditores. Participar como observador o apoyo logístico en inspecciones. Actualización de bases de datos y listas de verificación Mantener bases de datos internas actualizadas (p. ej., listas de componentes aprobados, versiones de normativa aplicables). Gestionar listas de control para lanzamientos de nuevos productos (NPI). Apoyo a ingeniería o calidad Colaborar con equipos técnicos para asegurar que las modificaciones de diseño no comprometan la conformidad. Asistir en la preparación de documentación para el cliente final o autoridades (DoC, informes técnicos, fichas de seguridad, etc.). Formación y soporte interno Preparar presentaciones básicas sobre normativas (por ejemplo, REACH, IMDS) para nuevos empleados o prácticas internas. Hacer seguimiento de plazos o tareas relacionadas con compliance en lanzamientos de producto Requisitos Grado superior/ ingeniería en mecánica, o cualquier otra ingeniería con especialidad en automoción Experiencia, contacto o motivación por el mundo de la automoción Ingles B2 Se ofrece Contrato Indefinido 100% Teletrabajo. Tal vez una reunión cada tres semanas o una vez al mes en Madrid Horario: 09:00 a 18:00 horas Formación continua Posibilidad de crecimiento Salario en función de experiencia"
UX & Product Designer,idealista,Spain,"About the job En idealista, portal inmobiliario líder en España, buscamos diseñador/a de producto para incorporarse en nuestro equipo de UX & Product en Madrid. ¿No te conformas hasta comprender cuál es el verdadero problema que necesitas solucionar? ¿Eres capaz de plantear flujos de procesos, diseñar servicios y interfaces intuitivas para web y app para cualquier persona sin depender de un sistema de diseño, un ux writer o un product manager? ¿Te gusta mimar los detalles y te identificas con la frase de Sir Edwin Lutyens “Dios lo ve”? ¿Eres capaz de distinguir problemas de usabilidad en patrones de interacción que otras personas consideran que sean buenas prácticas? ¿Estás harto del “fail fast, fail often” o del ""ya iteraremos"" que termina minando la capacidad de hacer las cosas bien a la primera? ¿Te ves como una persona que sabe expresarse, comunicar sus ideas y que le gusta trabajar en equipo? ¿Logras un buen balance entre reflexión concienzuda y ejecución detallada evitando el parálisis por exceso de análisis? ¿Se te da bien hacer zoom in y zoom out en el journey del usuario y en la experiencia del producto o servicio? ¿Buscas explorar y crecer en habilidades y responsabilidades más que tener un plan de carrera definido? Si respondes que sí a todas estas preguntas nos encantaría conocerte y charlar contigo. Llevamos más de 20 años ayudando a la gente con todo lo que pueda suponer buscar o vender casa en España, Italia y Portugal, creando servicios pioneros con un equipo joven, multicultural y con mucho talento. Cosas que harás: Participar en la definición de los objetivos y indicadores de éxito de cada iniciativa en conjunto con el responsable técnico o product manager. Identificar y analizar problemas y necesidades de nuestros usuarios y clientes. Definir los requisitos funcionales, arquitectura de información y flujos de procesos. Plantear y diseñar soluciones y interacciones de alta fidelidad adaptándolas adecuadamente a cada plataforma web responsive, iOS y Android. Presentar y argumentar tu proceso y soluciones de diseño a diferentes interlocutores. Colaborar en la investigación y en los momentos de validación de prototipos con usuarios. Documentar los proyectos y hacer seguimiento de cómo evolucionan las funcionalidades tras las subidas a producción. Participar en las dinámicas de equipo que buscan fomentar la reflexión y el aprendizaje. ¿Qué te ofrecemos? Una organización muy plana, sin despachos ni símbolos de estatus, en la que puedes hablar con cualquiera reduciendo burocracias y fomentando la proactividad en la resolución de problemas. Realidad. Somos una empresa que no depende de rondas de financiación para lograr los retos que nos planteamos, con una tasa de fidelización del talento por encima de la media en empresas digitales. Podrás ver el impacto directo de tu trabajo en una de las webs y apps de referencia en España, Italia y Portugal. Podrás vivir ese cosquilleo que da en la tripa la primera vez que ves algo que has hecho en una plataforma que utilizan millones de personas. Oficinas en el centro de Madrid, pero también en Milán, Málaga, Barcelona y Lisboa. Opción de full remote desde España, Italia o Portugal (donde tenemos sede), aunque nos encanta coincidir en algún sarao o simplemente por la ofi para un café y ponernos al día. Un mentor lead que te acompañará para poder ayudarte en tu evolución. Ambiente joven, internacional, respetuoso y súper colaborativo. Podrás acogerte a un plan de retribución flexible (tarjeta de transporte, cheques gourmet, seguro médico cofinanciado) del que te podrás beneficiar desde el primer día. Clases de inglés, italiano, portugués y español. ¡Tenemos compañer@s de todo el mundo! También tenemos fisio y clases de yoga … ¡Porque para nosotros lo más importante es cuidarnos! Somos una empresa founder-led: cada día tenemos la suerte de poder contar con la visión de nuestros fundadores, para construir juntos mejores experiencias. Talento: hemos llegado lejos porque contamos con gente brillante y comprometida. ¿Te lo vas a perder? Esto es idealista 😊"
Product Designer,Orbis Group,EMEA,"About the job Job Title: Product Designer Location: Fully Remote (UK HQ, open to candidates in EMEA) Contract Type: Permanent Salary Range: £60,000 base & benefits (the equivalent will be paid in your local currency) About the Company Series A fintech scale-up on a mission to change how businesses manage their accounts receivable. Founded in 2014, they've built a platform that automates chasing unpaid invoices. Backed by over $6M in funding, they're evolving into a much broader financial operations platform, solving bigger and more ambitious problems for our customers. They run lean, move fast, and believe in giving their team genuine ownership. If you want the freedom to make an impact, work with autonomy, and be part of a collaborative, high-trust culture, this is the one. The Role Looking for a hands-on, UX-focused Product Designer to help take the platform to the next level. You’ll own design end-to-end, from discovery and prototyping to polished, production-ready experiences. Reporting into the CPO and working closely with the CEO, you’ll help shape the product vision, uncover customer needs, and design elegant, user-focused solutions that make a measurable difference. This role is perfect for a designer who thrives on ownership, accountability, and delivering high-impact work in a fast-moving setting. Key Responsibilities Own the platform’s design end-to-end — from information architecture to interaction details. Partner in continuous discovery — run user interviews, usability tests, and turn insights into clear product directions. Prototype and iterate rapidly — explore multiple solutions before committing to the best one. Collaborate closely with engineering — ensure feasibility, technical alignment, and smooth handoff. Champion the user — advocate for accessibility, inclusivity, and ethical design. Craft and evolve the design system — maintain consistency while moving fast. What We’re Looking For 3–5 years in a product-focused design role (ideally at a scale-up) Strong UX focus — from research to final execution Experience working in product teams or closely with Product & Engineering Proven ability to run discovery, define hypotheses, and design for measurable outcomes Skilled with Figma (or similar) and rapid prototyping tools Great communicator who thrives in collaborative environments Proactive, accountable, and able to get things done without waiting for permission What’s on Offer Fully remote, flexible working environment A seat at the table in a high-trust, empowered product culture Standard benefits package + generous learning & development budget The chance to shape the core experiences of a fast-evolving fintech platform"
Junior Product Designer,Bending Spoons,Spain,"About the job At Bending Spoons, we’re striving to build one of the all-time great companies. A company that serves a huge number of customers. A company where team members grow to their full potential. A company that functions at unparalleled levels of effectiveness and efficiency. A company that creates value for shareowners at an extraordinary rate. And a company that does so while adhering to high ethical standards. To achieve this objective, we execute the following strategy: We acquire a digital business with untapped potential and make it as successful as we can by leveraging our platform—which comprises our expertise, technologies, data, brand, talents, and company culture. Then, we invest the proceeds into making our platform more powerful, and into acquiring new businesses. Thus, our strategy sees us combine an investor’s attention to capital allocation with the hands-on approach of an operator. For a talented, driven, and collaborative individual, working at Bending Spoons is an opportunity to learn, make an impact, and progress their career at an exceptionally high rate. That’s our promise to such a candidate. A few examples of your responsibilities Help shape outstanding user experiences and impact the success of our products by creating flawless UI and UX designs, from conceptualization to delivery. You’ll take a human-first approach to designing products, ensuring they delight users by being as effective as they are aesthetically pleasing. Make use of prototyping tools to ensure your designs are intuitive and to explore new, innovative ways of designing interactions. Work closely with product managers and software engineers to propose new features and improve the quality of both mobile and desktop apps. Focus on user testing and research to ensure our customers are always at the core of our product designs. Find, together with engineers, the most efficient trade-off between high-value solutions for users and the complexity of implementation. Leverage usage data to evaluate the impact of your designs, and apply your learnings to the next iterations. What we look for Reasoning ability. Given the necessary knowledge, you can solve complex problems. You think from first principles, and structure your ideas sharply. You resist the influence of biases. You identify and take care of the details that matter. Drive. You’re extremely ambitious in everything you do—and your initiative, effort, and tenacity match the intensity of your ambition. You feel deeply responsible for your work. You hold yourself to a high—and rising—bar. Team spirit. You give generously and without the expectation of receiving in return. You support the best idea, not your idea. You're always happy to get your hands dirty to help your team. You’re reliable, honest, and transparent. Proficiency in English. You read, write, and speak proficiently in English. What we offer Incredibly talented, entrepreneurial teams. You’ll work in small, result-oriented, autonomous teams alongside some of the brightest people in your field. An exceptional opportunity for growth. We go to great lengths to hire individuals of outstanding potential—then, our priority is to put them in the ideal position to thrive. Spooners in their 20s lead products worth hundreds of millions of dollars. And if you’ve got what it takes, you’ll soon be playing an essential role in major projects, too. Competitive pay and access to equity in the company. Typically, we offer an individual at the start of their career a salary of £54,545 in the UK and €52,246 elsewhere. If they possess a few years of relevant experience, the salary on offer tends to be between £66,779 and £149,636 in the UK, and €63,965 and €143,330 elsewhere. Pay grows rapidly as you accumulate experience and translate it into greater impact. You can also receive some of your pay in company equity at a discounted price, thus participating in the value creation we achieve together. If relocating to Italy, you may enjoy a 50% tax cut. All. These. Benefits. Flexible hours, remote working, unlimited backing for learning and training, top-of-the-market health insurance, a rich relocation package, generous parental support, and a yearly retreat to a stunning location. We help each Spooner set up the conditions to do their best work. Commitment & contract Permanent or fixed-term. Full-time. Location Milan (Italy), London (UK) or remote. Before you apply Bending Spoons is a demanding environment: We’re extremely ambitious and we hold ourselves—and one another—to a high standard. While this tends to lead to extraordinary learning, achievement, and career growth, it also requires significant commitment. To help you ramp up quickly and set yourself up for success, we recommend spending your first few months working from our Milan office, regardless of your long-term work location. It’s the best way to rapidly absorb our company culture and build trust with your new teammates. We’ll support you with generous travel and accommodation assistance. After that, you’re welcome to work from our offices in Milan or London, or remotely from approved countries—depending on what we agree at the offer stage. If the role speaks to you and you’re excited to give your best, we’d love to hear from you. Apply now—we can’t wait to meet you. The selection process If you pass our screening, we’ll ask you to take on a few tests that assess how you approach unfamiliar problems. If you’re successful with those, we’ll invite you to a series of interviews. Bending Spoons is an equal opportunity and affirmative action employer. We consider for employment any applicant and we provide reasonable accommodations for an applicant with disabilities, which can be requested through this form. Studies suggest that women tend not to apply for a job if their CV isn’t a perfect fit. Here, talent takes precedence over experience. So if you like the role and think you could be awesome at it in time, go ahead and apply. Desired Skills and Experience Figma (Software), User Interface Design, Product Design, User Experience (UX), Web Design"
Digital Product Designer (Ux/Ui),Trileuco Solutions,"Burgos, Castilla and Leon, Spain","About the job This job is sourced from a job board. Learn More ¿Te imaginas diseñar productos con impacto real, IA de fondo y un equipo que no necesita subtítulos para entenderse? Entonces esta oferta es para ti. En Diverger no diseñamos solo pantallas bonitas. Diseñamos con propósito, con lógica de negocio, con inteligencia artificial (y a veces con memes, porque también somos human@s). Somos una empresa de desarrollo de software con más de 100 personas apasionadas por transformar el desarrollo digital. Creamos productos donde la IA no es humo, sino herramienta. Trabajamos en proyectos de larga duración para clientes top en España y Europa. ¿Sectores? Banca, retail, telco, salud… ¡y mucho más! ¿Qué buscamos ahora? Un@ Product Designer con experiencia, mirada estratégica y buen gusto (sí, lo sabemos cuando lo vemos). Es para un proyecto de largo recorrido en uno de nuestros clientes más potentes, donde vas a diseñar con libertad, colaborar con equipos tech y de producto, y construir soluciones elegantes y escalables.¿Te suena bien? Entonces sigue leyendo?? Esto no es un brief más (aunque vendrán unos cuantos) Diseñarás interfaces web y mobile limpias, intuitivas y bellas (sin pasarte con los gradients, eso sí). Participarás activamente en procesos de investigación, definición y validación con usuario. Crearás y evolucionarás sistemas de diseño y patrones reutilizables con consistencia. Colaborarás estrechamente con personas de desarrollo, producto y negocio. Prototiparás como si estuvieras enseñándole magia a tu futuro tú. Aportarás visión crítica y estratégica para entender cómo se traduce la necesidad del negocio en decisiones de diseño reales. Presentarás propuestas con seguridad y claridad (y con slides que no duelan a la vista). El toolkit que te hará encajar como componente en Figma Figma (imprescindible que lo domines con soltura) Prototipado interactivo (sí, queremos ver cómo cobra vida tu diseño) Diseño Responsive + Mobile First (de verdad, no solo que se ""vea bien"") HTML/CSS (nivel lectura y empatía con devs) Principios sólidos de diseño visual: tipografía, color, espaciado, jerarquía (indispensable) Conocimiento en procesos de diseño UX end-to-end (muy valorado) Webflow, After Effects, Cinema 4D… también nos gustan, pero son opcionales Para aplicar, necesitamos tu portafolio. Queremos Ver Proyectos reales, no solo Dribbble shots o rediseños ficticios. Claridad en el problema, la solución, el proceso. Coherencia visual, lógica de negocio, escalabilidad y creatividad. Y si encima lo maquetas con mimo, sin faltas y con buenas imágenes… te hacemos la ola virtual ?? Beneficios Retribución flexible (comida, transporte, guardería y más) 23 días + 24 y 31 de diciembre OFF Jornada intensiva en verano (julio y agosto) Formación top (Udemy, Frontend Masters, Google/Microsoft certs…) Red de apoyo técnico y humano (mentoría, people, comunidades) Comunidad IA activa, con acceso a todo lo último y debate jugoso Plan de carrera + feedback real en 1to1s periódicos 100% remoto (y oficinas en Madrid y Coruña por si te apetece pasar) Flexibilidad horaria real (y comunicación sin dramas) Transparencia sin jerga (all-hands, updates y dinámicas con sentido) Súmate a Diverger, donde tus diseños y tus memes serán igual de bien recibidos En Diverger respiramos un entorno diverso y en el que todas las personas tengan igualdad de condiciones. Crecemos por nuestro compromiso, nuestra exigencia y nuestra pasión por lo que hacemos sin importar la mochila con la que viajemos. Porque no entendemos estas prácticas solo como principios, sino como la inercia de nuestra cultura día a día. Nos aseguramos de crear un entorno en el que cada persona se sienta respetada, orgullosa y valorada por ser quien es y como es. DIVERGER Thinking S.L, en cumplimiento del artículo 13 del RGPD, le solicita su consentimiento para el tratamiento de sus datos personales, con la finalidad de incluirle en nuestros procesos de selección de personal. El tratamiento se encuentra legitimado en base a su consentimiento expreso (art 6.1.a) RGPD), que presta mediante su postulación a la candidatura de empleo. En determinados casos, podrá ser necesario comunicar sus datos personales a nuestro cliente para que valore su candidatura. Sus datos personales serán conservados durante el plazo de 1 año desde la finalización del proceso de selección. Puede ejercer sus derechos de acceso, rectificación, supresión, oposición, limitación, portabilidad y a no ser objeto de decisiones automatizadas en ******. Le informamos igualmente, de que tiene derecho a presentar una reclamación ante la AEPD en caso de considerarlo oportuno."
Business Analyst,Asenium Consulting,European Union,"About the job For one of our customers, we are looking for a Business Analyst with strong experience in industrial operations to support IT teams. Duration: 3+ months(renewable) Location: Europe(100% remote) Description: We are looking for a business analyst with extensive experience in Industrial, to support the IT team, and to liaise with the businesses and the Center of excellence. The ideal candidate will be involved in reporting, process optimization, maintenance, quality, and production-related topics. This role includes defining functional specifications, mapping processes and data, and supporting the delivery of operational and analytical solutions. Key Responsibilities: Collaborate with business stakeholders and Centers of Excellence to gather requirements Write functional specifications and translate them into technical discussions Work with IT teams to deliver industrial reporting and data solutions Support ongoing operations and incident resolution Ensure compliance with export control regulations (e.g., ITAR, EAR) Participate in CMMC readiness planning Contribute to the digital transformation of industrial processes Skills Required: Proven experience in business analysis within industrial domains (e.g., production, maintenance, process optimization, quality control). Strong expertise in reporting and analytics tools such as Power BI, QlikSense, and SAP BW. Ability to write business requirement documents and functional specifications. Familiarity with AVEVA PI for industrial data collection and monitoring. Knowledge of Microsoft Azure and Microsoft Fabric. Good understanding of functional architecture and data architecture. Exposure to digital transformation initiatives within industrial environments. Familiarity with export control regulations such as ITAR and EAR. Awareness of CMMC compliance requirements is a plus. Strong communication and stakeholder coordination skills. Fluent in English; proficiency in French or another language is a plus."
Business Analyst,Sngular,"Alcobendas, Community of Madrid, Spain","About the job ¿POR QUÉ ELEGIR SNGULAR? La gente viene a SNGULAR atraída por proyectos que usan tecnologías punteras, y se quedan por los grandes profesionales con los que trabajan. Y además porque ofrecemos esto: 🙋‍♂️Personas primero: somos una empresa colaborativa orientada a las personas, donde TÚ y tu perspectiva siempre serán valoradas. Nuestro valor número uno es ""Personas antes que resultados"". ¿Suena bonito? Pues en SNGULAR, además, lo llevamos a la práctica. 📈 Crecimiento y formación continua: Tenemos un espíritu de Start-up con la infraestructura de una gran organización (ya somos 1300). Se te ofrecerán oportunidades de crecimiento profesional: aprender nuevas habilidades, obtener nuevas certificaciones, o convertirte en un gran Líder... ¡deja tu zona de confort de la manera que TÚ quieras! 🏋️‍♀️ Beneficios increíbles (los tienes detallados al final), tenemos incluso un Wellbeing Pack para cuidar nuestro bienestar físico y mental. En SNGULAR adoptamos una cultura plural, donde trabajamos con respeto, donde existe igualdad de oportunidades, donde nos enorgullecemos de ser proactivos, trabajamos con humildad e intentamos mantener siempre un espíritu de equipo, sin perder nunca el buen humor. Conoce todo lo que hace de Sngular un #BestPlaceToGrow ¿CUÁL SERÁ TU ROL? Formarás parte del equipo de BA, donde trabajarás en estrecha colaboración con todo el equipo, siendo uno de los principales contactos con la empresa, además de gestionar, documentar y analizar todos los nuevos requisitos del proyecto. ANÁLISIS DE REQUISITOS Y PROCESOS: Recopilar y analizar las necesidades del negocio mediante entrevistas, talleres y revisión de documentos. Documentar y modelar los procesos del negocio para identificar oportunidades de mejora. Traducir las necesidades del negocio en requisitos funcionales y no funcionales para los equipos técnicos. GESTIÓN Y PRIORIZACIÓN DE REQUISITOS: Preparar documentación detallada de requisitos, historias de usuario y criterios de aceptación. Garantizar la correcta gestión de los cambios en los requisitos durante todo el ciclo de desarrollo. VALIDACIÓN Y SEGUIMIENTO: Participar en la validación y prueba de soluciones para garantizar que cumplan con los requisitos. COLABORACIÓN Y COMUNICACIÓN: Actuar como enlace entre los equipos comerciales y técnicos para garantizar el entendimiento mutuo. GARANTIZAR LA COHERENCIA DEL SISTEMA DE INFORMACIÓN: Garantizar que los requisitos y las soluciones estén alineados con la estrategia empresarial general. Definir métricas de éxito para evaluar la eficacia de los cambios implementados. ENTREGABLES: Documentación de requisitos de negocio y especificaciones funcionales. Modelos de procesos de negocio y diagramas de flujo. Análisis de impacto y evaluaciones de riesgos. INDICADORES DE DESEMPEÑO: Tiempo de respuesta para la documentación y validación de requisitos. Porcentaje de requisitos implementados sin cambios significativos. ***Imprescindible inglés Perks (beneficios) 👨‍🎓 Acceso a formación continua: presupuesto individual para formación, obtención de certificaciones, acceso ilimitado a Udemy, clases de idiomas, dinámicas de formación interna. 🏠 Flexibilidad horaria, teletrabajo, posibilidad de trabajar desde nuestros Hubs. 📅 22 días de vacaciones + día de cumpleaños + 2 días de asistencia a eventos técnicos + 24 y 31 de diciembre no laborables. 🌞 Wellbeing pack: Ayuda para la mejora del bienestar. 💵 Retribución flexible. 🎉 Dinámicas y Eventos de Teambuilding 🎁 Pack de Bienvenida 💻 Posibilidad de elegir equipo (Windows / Mac) 🚀 Otras Iniciativas que te permiten conseguir bonus adicionales: recomendar profesionales, speaker en eventos, artículos técnicos,... And last, but not least: ¡porque somos muy Sngulares!💙 Tenemos Encuentro Virtual todos los viernes, fiestas, espacios donde podrás expresarte, proponer cambios y ser partícipe de ellos."
Project Manager,Monest Capital,"Madrid, Community of Madrid, Spain","About the job ¿Eres una persona ultra organizada, resolutiva y con visión estratégica que disfruta liderando proyectos de alto impacto de inicio a fin con precisión y foco? Entonces esta posición es para ti 🚀 En Monest Capital buscamos un perfil Project Manager Estratégico: alguien que combine pensamiento estratégico y ejecución impecable para liderar, priorizar y coordinar los diferentes proyectos clave de la compañía. Esta persona será clave para que las ideas y planes se conviertan en realidades concretas, medibles y bien ejecutadas en todas las áreas del negocio, con especial énfasis en proyectos transversales y del área de marketing (eventos especiales, lanzamientos, etc.). Serás el motor organizativo que conecta visión y acción: quien hace que las cosas pasen con método, orden y resultados. 🎯 Responsabilidades Principales Ownership de la gestión de proyectos asignados, asegurando el cumplimiento de objetivos, plazos y entregables definidos. Coordinar y seguir la evolución de todos los participantes en los proyectos bajo gestión, facilitando la cooperación interdepartamental. Establecer mecanismos de control, reporting y seguimiento de riesgos para adelantar posibles incidencias y retrasos en los proyectos bajo gestión, comunicando riesgos a priori a los responsables de las áreas Liderar la ejecución de proyectos relacionados con eventos especiales, lanzamientos y campañas clave. 5 Proponer e implementar mejoras en herramientas digitales que ayuden a optimizar la gestión. ⚡ Habilidades Técnicas (Hard Skills) Experiencia previa en gestión de proyectos en entornos digitales o de alto ritmo. Conocimiento de metodologías ágiles y herramientas de gestión (Notion, Asana, Trello, etc.). Capacidad para definir y hacer seguimiento de objetivos, plazos y entregables. Conocimientos funcionales en áreas como marketing, procesos digitales y automatización. Nivel alto de organización personal y dominio de herramientas digitales para trabajo remoto. 🧠 Habilidades Blandas (Soft Skills) Organización y estructura mental: sabes planificar, anticipar y ejecutar con orden. Autonomía y proactividad: te gusta tomar las riendas y resolver sin esperar instrucciones detalladas. Comunicación clara y efectiva: sabes coordinar personas y mover proyectos sin necesidad de autoridad formal. Foco en el impacto: entiendes que lo importante no es estar ocupado, sino avanzar hacia el objetivo. Agilidad y adaptabilidad para trabajar en un entorno cambiante, con ritmo alto y decisiones constantes. 🧡 Encaje Cultural Agilidad para moverse en entornos cambiantes y con muchas decisiones. Autonomía real con responsabilidad: confiamos en ti, pero esperamos impacto. Mentalidad orientada a resultados, mejora constante y colaboración. Comunicación clara y enfoque directo: lo que no suma, se mejora. 🚀 ¿Qué ofrecemos? Salario competitivo y ajustado a tu perfil y experiencia. La oportunidad de unirte a un proyecto estable y con futuro en el mundo de la inversión inmobiliaria. Un entorno de trabajo ágil, dinámico y sin burocracia, donde tu autonomía y aportación son clave. Trabajo 100% remoto, con flexibilidad y autonomía para organizar tu día desde donde quieras (España o Andorra). Un equipo joven, comprometido y con muy buen ambiente. Aquí nos cuidamos y celebramos juntos los logros. 22 días laborables de vacaciones y una cultura que prioriza la conciliación personal y profesional. Posibilidades reales de desarrollo dentro del grupo y formación continua para seguir creciendo. Teambuildings presenciales en diferentes ciudades de España para conectar, compartir y hacer equipo. Sobre nosotros Monest Capital es una empresa de inversión especializada en el sector inmobiliario. Ayudamos a personas a invertir de forma rentable y segura, poniendo el foco en la estrategia, el análisis y la ejecución profesional. Dentro del grupo, contamos con Inversor PRO, nuestra comunidad y academia de formación donde miles de personas aprenden a invertir en inmuebles de forma práctica, clara y con resultados! Creemos en el trabajo bien hecho, la mejora constante y la transparencia como pilares para crecer. Somos un equipo joven, ambicioso y con muchas ganas de transformar el mundo de la inversión inmobiliaria en España. ¡Te estamos esperando!"
