Job title (original),Job title (short),Company,Country,State,City,Schedule type,Experience years,Seniority,Skills,Degrees,Software
Digital Product Designer (Ux/Ui),Product Designer,Trileuco Solutions,Spain,Unknown,Burgos,Full-time,3-5,Mid,"UI/UX Design; User Research; Product Design; Design Systems; Prototyping; Visual Design; Interaction Design; User-Centered Design; Design Thinking; HTML/CSS","Bachelor's Degree","Figma; HTML/CSS; Webflow; After Effects; Cinema 4D"
Junior Product Manager,Product Manager,TuoTempo,Spain,Unknown,Barcelona,Full-time,0-3,Junior,"Product Management; Product Strategy; Product Development; User Research; Market Research; Requirements Gathering; Product Analytics; Cross-functional Collaboration; Stakeholder Management; Business Acumen","Bachelor's Degree","Microsoft Office; Google Workspace; Slack; Teams; Zoom; WebEx"
Product Designer,Product Designer,Burns Sheehan,Spain,Unknown,Unknown,Full-time,3-5,Mid,"Product Design; UI/UX Design; User Research; Design Systems; Prototyping; Visual Design; Interaction Design; User-Centered Design; Design Thinking; B2B SaaS Design","Bachelor's Degree","Figma; Sketch; Adobe Creative Suite; Prototyping Tools"
Product Associate,Product Associate,ZenOwn,Spain,Unknown,Unknown,Full-time,0-3,Junior,"Data Analysis; Data Visualization; Statistical Analysis; Predictive Analytics; Machine Learning; Deep Learning; AI; Natural Language Processing; NLP; Business Intelligence; Data Mining; Data Modeling; Data Governance; A/B Testing; Hypothesis Testing; Quantitative Research; Qualitative Research","Bachelor's Degree","Python; R; SQL; JavaScript; TypeScript; Java; C#; C++; Docker; Kubernetes; Jenkins; GitHub; GitLab; VS Code; IntelliJ IDEA; PyCharm; WebStorm; Sublime Text; Atom; Vim; Emacs"
UX & Product Designer,Product Designer,idealista,Spain,Unknown,Madrid,Full-time,3-5,Mid,"UI/UX Design; User Research; Product Design; Design Systems; Prototyping; Visual Design; Interaction Design; User-Centered Design; Design Thinking; Information Architecture; Usability Testing; Accessibility Design","Bachelor's Degree","Figma; Sketch; Adobe Creative Suite; Prototyping Tools; Design Systems"
Marketing Specialist,Marketing Specialist,industria farmaceutica,Spain,Unknown,Unknown,Full-time,0-3,Junior,"Marketing; Digital Marketing; Content Marketing; Social Media Marketing; Email Marketing; SEO; SEM; PPC; Brand Management; Marketing Analytics; Sales; Sales Strategy; Customer Relationship Management; CRM; Lead Generation; Account Management; Business Development","Master's Degree","Microsoft Office; Google Workspace; Marketing Analytics Tools; CRM Systems"
Product Marketing Manager,Product Marketing Manager,Fever,Spain,Unknown,Madrid,Full-time,3-5,Mid,"Product Marketing; Marketing; Digital Marketing; Content Marketing; Social Media Marketing; Email Marketing; SEO; SEM; PPC; Brand Management; Marketing Analytics; Sales; Sales Strategy; Customer Relationship Management; CRM; Lead Generation; Account Management; Business Development; Product Management; Product Strategy; Product Development; User Research; Market Research; Requirements Gathering; Product Analytics; Cross-functional Collaboration; Stakeholder Management; Business Acumen","Bachelor's Degree","Microsoft Office; Google Workspace; Marketing Analytics Tools; CRM Systems; Product Management Tools"
Product Designer,Product Designer,Garaje de ideas | Groupe EDG,Spain,Unknown,Unknown,Full-time,3-5,Mid,"Product Design; UI/UX Design; User Research; Design Systems; Prototyping; Visual Design; Interaction Design; User-Centered Design; Design Thinking; Information Architecture; Usability Testing; Accessibility Design; Design Systems; Brand Design; Graphic Design; Digital Design","Bachelor's Degree","Figma; Sketch; Axure; Adobe Creative Suite; Prototyping Tools; Design Systems"
Product Manager,Product Manager,Wave Mobile Money,Spain,Unknown,Unknown,Full-time,5+,Senior,"Product Management; Product Strategy; Product Development; User Research; Market Research; Requirements Gathering; Product Analytics; Cross-functional Collaboration; Stakeholder Management; Business Acumen; Leadership; Team Management; Strategic Thinking; Problem Solving; Critical Thinking; Analytical Thinking; Communication; Presentation Skills; Negotiation; Conflict Resolution; Time Management; Organization","Bachelor's Degree","Microsoft Office; Google Workspace; Product Management Tools; Analytics Platforms; Project Management Tools"
PMO junior Oficina gestión de proyectos consultoría tecnológica - 100% remoto - Imprescindible Catalán,Project Manager,Minsait,Spain,Unknown,Unknown,Full-time,0-3,Junior,"Project Management; Agile; Scrum; Kanban; Lean; Six Sigma; Waterfall; SAFe; DevOps; CI/CD; SDLC; Product Lifecycle Management; Cross-functional Collaboration; Stakeholder Management; Communication; Problem Solving; Critical Thinking; Analytical Thinking; Time Management; Organization; Risk Management; Quality Assurance; Quality Control; Process Optimization; Supply Chain Management; Logistics; Healthcare Knowledge; Financial Analysis; Risk Management; Auditing; Document Management; Technical Writing; Training; Mentoring; Coaching","Bachelor's Degree","Microsoft Office; Google Workspace; Project Management Tools; Jira; Confluence; Slack; Teams; Zoom; WebEx"
MERCHANDISE CONTROLLER,Data Analyst,OVS S.p.A.,Spain,Unknown,Madrid,Full-time,0-3,Junior,"Data Analysis; Data Visualization; Statistical Analysis; Predictive Analytics; Business Intelligence; Data Mining; Data Modeling; Data Governance; A/B Testing; Hypothesis Testing; Quantitative Research; Qualitative Research; Market Research; Sales Analytics; Performance Analysis; Process Optimization; Supply Chain Management; Logistics; Financial Analysis; Risk Management; Auditing; Document Management; Technical Writing; Training; Mentoring; Coaching","Bachelor's Degree","Microsoft Excel; Microsoft PowerPoint; Microsoft Office; Google Workspace; Data Analytics Tools; Business Intelligence Tools; CRM Systems"
